Number,Title,Source,URL,Date
1,Kennesaw State professor seeks answers in brain and behavior science research ,No Source,https://news.kennesaw.edu/stories/2021/ksu-research-behavioral-neuroscience.php,"June 11, 2021"
2,COVID-19 Info and Resources,No Source,https://coronavirus.kennesaw.edu/,"June 10, 2021"
3,Kennesaw State graduate earns three Telly Awards for videos,No Source,https://news.kennesaw.edu/stories/2021/alum-earns-three-telly-awards.php,"June 10, 2021"
4,Kennesaw State launches Office of Intellectual Property Development ,No Source,https://news.kennesaw.edu/stories/2021/ksu-office-of-intellectual-property-development.php,"June 09, 2021"
5,Kennesaw State students work hands-on to augment State Department peacekeeping operations,No Source,https://news.kennesaw.edu/stories/2021/ksu-diplomacy-lab-peacekeeping-state-department.php,"June 08, 2021"
6,Kennesaw State promotes success for first-generation college students,No Source,https://news.kennesaw.edu/stories/2021/first-generation-students-at-kennesaw-state.php,"June 07, 2021"
7,Kennesaw State ushers in new era of competition with varsity Esports,No Source,https://experience.kennesaw.edu/varsityesports?source=share-ksu,"June 04, 2021"
8,Kennesaw State graduate books gig as Georgia Symphony Orchestra executive director,No Source,https://news.kennesaw.edu/stories/2021/ksu-alum-georgia-symphony-orchestra.php,"June 03, 2021"
9,Kennesaw State awarded NIH grant to enhance biomedical research and diversity,No Source,https://news.kennesaw.edu/stories/2021/ksu-awarded-nih-grant-for-biomedical-research-diversity.php,"June 02, 2021"
10,Baseball coach Mike Sansing retires after 30 years at Kennesaw State,No Source,https://ksuowls.com/news/2021/5/31/legendary-baseball-coach-mike-sansing-retires-after-30-years-at-ksu.aspx,"June 01, 2021"
11,Kennesaw State professor uses platform to encourage women in STEM,No Source,https://news.kennesaw.edu/stories/2021/computing-and-software-engineering-women-in-stem.php,"May 28, 2021"
12,Scholarship to honor memory of Kennesaw State student,No Source,https://news.kennesaw.edu/stories/2021/ksu-foundation-amyah-k-dowdy-memorial-scholarship.php,"May 27, 2021"
13,Kennesaw State's School of Data Science and Analytics offers opportunity for all levels of students,No Source,https://news.kennesaw.edu/stories/2021/ksu-students-data-science-and-analytics.php,"May 26, 2021"
14,Kennesaw State graduate selected for prestigious Harvard summer research program,No Source,https://news.kennesaw.edu/stories/2021/ksu-graduate-selected-for-summer-research-program.php,"May 25, 2021"
